model_name,auc,f1_score,fp_rate,mcc,prc_auc,precision,recall
LogisticRegressionGD,0.9944,0.9709,0.056,0.9292,0.9609,0.9659,0.9778
Scikit-learn,0.9944,0.9559,0.056,0.9049,0.9482,0.9641,0.9524
