model_name,accuracy,auc,cohen_kappa,f1_score,fn_rate,fp_rate,mcc,prc_auc,precision,recall
LogisticRegressionGD,0.964872,0.991653,0.924141,0.953738,0.036806,0.038164,0.92584,0.989908,0.947204,0.963194
Scikit_learn,0.974872,0.991653,0.943236,0.962965,0.051389,0.011963,0.944189,0.989908,0.979118,0.948611
