model_name,auc,f1_score,fp_rate,mcc,prc_auc,precision,recall
Modello LogisticRegressionGD,0.995965,0.972028,0.038062,0.94427,0.972135,0.961938,0.982332
Modello Scikit-learn,0.995452,0.972028,0.038062,0.94427,0.972135,0.961938,0.982332
