model_name,auc,f1_score,fp_rate,mcc,prc_auc,precision,recall
Modello LogisticRegressionGD,0.983065,0.942857,0.060606,0.882251,0.941126,0.942857,0.942857
Modello Scikit-learn,0.982442,0.93913,0.048485,0.87685,0.938615,0.952941,0.925714
