model_name,accuracy,auc,f1_score,fn_rate,fp_rate,mcc,prc_auc,precision,recall
Modello LogisticRegressionGD,0.989455,0.997357,0.985714,0.023585,0.002801,0.97747,0.986807,0.995192,0.976415
Modello Scikit_learn,0.987698,0.997199,0.983294,0.028302,0.002801,0.973734,0.984448,0.995169,0.971698
